"Name","Version","License"
"virtualenv","20.35.4","MIT"
"watchfiles","1.1.1","MIT License"
"weasyprint","67.0","BSD License"
"webencodings","0.5.1","BSD License"
"websockets","15.0.1","BSD License"
"win32_setctime","1.2.0","MIT License"
"yarl","1.22.0","Apache Software License"
"yolox","0.3.0","Apache Software License"
"zipp","3.23.0","MIT"
"zopfli","0.4.0","Apache Software License"
